id,nbSons,enonce,rang,nomenclature,origine,origineAnnexe,couleur,musicalite,geometrie
14,2,100010000000,004-2,"Tierce majeure, 3M",intervalle classique,Intervalles,#00FFFF ,"ATO
CAD
TRP
IDÉ
ATR
ANH","PAN
"
15,2,100000000100,005-1,"Septième diminuée, 7bb",intervalle classique,Intervalles,#00FFFF ,"ATO
TRP
IDÉ
ATR
ANH",TRS
16,2,100000000100,005-1,"Sixte majeure, 6M",intervalle classique,Intervalles,#00FFFF ,"ATO
TRP
IDÉ
ATR
ANH",TRS
17,2,100000000100,005-1,"Treizième majeure, 13",intervalle classique,Intervalles,#00FFFF ,"ATO
TRP
IDÉ
ATR
ANH",TRS
18,2,100100000000,005-2,"Dixième mineure, 10m",intervalle classique,Intervalles,#00FFFF ,"ATO
TRP
IDÉ
ATR
ANH",TRS
19,2,100100000000,005-2,"Neuvième augmentée, 9#",intervalle classique,Intervalles,#00FFFF ,"ATO
TRP
IDÉ
ATR
ANH",TRS
20,2,100100000000,005-2,"Seconde augmentée, 2#",intervalle classique,Intervalles,#00FFFF ,"ATO
TRP
IDÉ
ATR
ANH",TRS
21,2,100100000000,005-2,"Tierce mineure, 3m",intervalle classique,Intervalles,#00FFFF ,"ATO
TRP
IDÉ
ATR
ANH",TRS
22,2,100000000010,006-1,"Septième mineure, 7",intervalle classique,Intervalles,#00FFFF ,"ATO
IDÉ
ATR
ANH",PAN
23,2,101000000000,006-2,"Neuvième majeure, 9",intervalle classique,Intervalles,#00FFFF ,"ATO
IDÉ
ATR
ANH",PAN
24,2,101000000000,006-2,"Seconde majeure, 2M",intervalle classique,Intervalles,#00FFFF ,"ATO
IDÉ
ATR
ANH",PAN
25,2,100000000001,007-1,"Septième majeure, 7M",intervalle classique,Intervalles,#00FFFF ,"CAD
IDÉ
ATR",TRS
26,2,110000000000,007-2,"Neuvième mineure, 9b",intervalle classique,Intervalles,#00FFFF ,"CAD
IDÉ
ATR",TRS
27,2,110000000000,007-2,"Seconde mineure, 2m",intervalle classique,Intervalles,#00FFFF ,"CAD
IDÉ
ATR",TRS
28,3,100010001000,"008-1
008-2
008-3",Augmenté,accord classique,Accords classiques,#009e62,"ATO
TRP
ATL
PAL
ATR
ANH",—
29,3,100010001000,"008-1
008-2
008-3",Pyram E,accord extrapolé (géométrie quadrant),Accords extrapolés,#009e62,"ATO
TRP
ATL
PAL
ATR
ANH",—
30,3,100010001000,"008-1
008-2
008-3","augm., aug., +",chiffrage harmonique tonal majeur,Accords tonals majeurs,#009e62,"ATO
TRP
ATL
PAL
ATR
ANH",—
31,3,100001000100,009-1,7sus4(9) sans 1! ni 5,chiffrage harmonique neutre,Accords neutres,#009e62,"IDÉ
ATR
ANH",HET
32,3,100001000100,009-1,"7M,5# sans 1!",chiffrage harmonique tonal majeur,Accords tonals majeurs,#009e62,"IDÉ
ATR
ANH",HET
33,3,100001000100,009-1,m7 sans 1!,chiffrage harmonique tonal mineur,Accords tonals mineurs,#009e62,"IDÉ
ATR
ANH",HET
34,3,100001000100,009-1,Non-classé,—,—,#009e62,"IDÉ
ATR
ANH",HET
35,3,100010010000,009-2,Majeur “parfait”,accord classique,Accords classiques,#009e62,"QUI
TONM
IDÉ
ATR
ANH",HET
36,3,100010010000,009-2,M,chiffrage harmonique tonal majeur,Accords tonals majeurs,#009e62,"QUI
TONM
IDÉ
ATR
ANH",HET
37,3,100100001000,009-3,Non-classé,—,—,#009e62,"IDÉ
ATR
ANH",HET
38,3,100001001000,010-1,7sus4(9b) sans 1! ni 5,chiffrage harmonique neutre,Accords neutres,#009e62,"IDÉ
ATR
ANH",HET
39,3,100001001000,010-1,7M sans 1!,chiffrage harmonique tonal majeur,Accords tonals majeurs,#009e62,"IDÉ
ATR
ANH",HET
40,3,100001001000,010-1,"m7,5b sans 1!",chiffrage harmonique tonal mineur,Accords tonals mineurs,#009e62,"IDÉ
ATR
ANH",HET
41,3,100001001000,010-1,Non-classé,—,—,#009e62,"IDÉ
ATR
ANH",HET
42,3,100010000100,010-2,Non-classé,—,—,#009e62,"IDÉ
ATR
ANH",HET
43,3,100100010000,010-3,Mineur “parfait”,accord classique,Accords classiques,#009e62,"QUI
TONm
IDÉ
ATR
ANH",HET
44,3,100100010000,010-3,m,chiffrage harmonique tonal mineur,Accords tonals mineurs,#009e62,"QUI
TONm
IDÉ
ATR
ANH",HET
45,3,100000100100,011-1,7 sans 1!,chiffrage harmonique tonal dominante,Accords tonals dominante,#009e62,"ATO
TRP
IDÉ
ANH","ORT
"
46,3,100000100100,011-1,7(9b) sans 1! ni 5 • alt (altéré),chiffrage harmonique tonal dominante,Accords tonals dominante,#009e62,"ATO
TRP
IDÉ
ANH","ORT
"
47,3,100000100100,011-1,Non-classé,—,—,#009e62,"ATO
TRP
IDÉ
ANH","ORT
"
48,3,100100000100,011-2,Pyram C,accord extrapolé (géométrie quadrant),Accords extrapolés,#009e62,"ATO
TRP
PAL
IDÉ
ANH
ATR",
49,3,100100100000,011-3,Diminué,accord classique,Accords classiques,#009e62,"ATO
TRP
IDÉ
ANH","ORT
"
50,3,100100100000,011-3,"dim, °",chiffrage harmonique tonal mineur,Accords tonals mineurs,#009e62,"ATO
TRP
IDÉ
ANH","ORT
"
51,3,100001000010,012-1,7M(11#) sans 1! ni 5 • lydien,chiffrage harmonique modal majeur,Accords modaux majeurs,#009e62,"IDÉ
ATR
ANH",
52,3,100001000010,012-1,7M(13) sans 1! ni 5,chiffrage harmonique tonal majeur,Accords tonals majeurs,#009e62,"IDÉ
ATR
ANH",
53,3,100001000010,012-1,m7(11) sans 1! ni 5,chiffrage harmonique tonal mineur,Accords tonals mineurs,#009e62,"IDÉ
ATR
ANH",
54,3,100001000010,012-1,Non-classé,—,—,#009e62,"IDÉ
ATR
ANH",
55,3,100001010000,012-2,Suspendu quarte,accord classique,Accords classiques,#009e62,"QUI
NEU
PAL
IDÉ
ATR
ANH",
56,3,100001010000,012-2,Pyram D,accord extrapolé (géométrie quadrant),Accords extrapolés,#009e62,"QUI
NEU
PAL
IDÉ
ATR
ANH",
57,3,100001010000,012-2,sus4,chiffrage harmonique neutre,Accords neutres,#009e62,"QUI
NEU
PAL
IDÉ
ATR
ANH",
58,3,101000010000,012-3,Non-classé,—,—,#009e62,"QUI
NEU
IDÉ
ATR
ANH",
59,3,100000100010,013-1,7(13b) sans 1! ni 5 • alt (altéré),chiffrage harmonique tonal dominante,Accords tonals dominante,#009e62,"ATO
CAD
TRP
IDÉ
ANH","HET
"
60,3,100000100010,013-1,7(9) sans 1! ni 5,chiffrage harmonique tonal dominante,Accords tonals dominante,#009e62,"ATO
CAD
TRP
IDÉ
ANH","HET
"
61,3,100000100010,013-1,Non-classé,—,—,#009e62,"ATO
CAD
TRP
IDÉ
ANH","HET
"
62,3,100010100000,013-2,Non-classé,—,—,#009e62,"ATO
CAD
TRP
IDÉ
ANH","HET
ORT"
63,3,101000001000,013-3,Non-classé,—,—,#009e62,"ATO
CAD
TRP
IDÉ
ANH
ATR","HET
"
64,3,100000101000,014-1,7(11#) sans 1! ni 5 • alt (altéré),chiffrage harmonique tonal dominante,Accords tonals dominante,#009e62,"ATO
CAD
TRP
IDÉ
ANH","HET
"
65,3,100000101000,014-1,Non-classé,—,—,#009e62,"ATO
CAD
TRP
IDÉ
ANH","HET
"
66,3,100010000010,014-2,7 sans 5,chiffrage harmonique tonal dominante,Accords tonals dominante,#009e62,"ATO
CAD
TRP
IDÉ
ANH
ATR","HET
"
67,3,101000100000,014-3,Non-classé,—,—,#009e62,"ATO
CAD
TRP
IDÉ
ANH","HET
ORT"
68,3,100000010010,015-1,7M(9) sans 1! ni 5,chiffrage harmonique tonal majeur,Accords tonals majeurs,#009e62,"QUI
NEU
IDÉ
ATR
ANH",HET
69,3,100000010010,015-1,Non-classé,—,—,#009e62,"QUI
NEU
IDÉ
ATR
ANH",HET
70,3,100101000000,015-2,Non-classé,—,—,#009e62,"IDÉ
ATR
ANH",HET
71,3,101000000100,015-3,m7(9b) sans 1! ni 5 • phrygien,chiffrage harmonique modal mineur,Accords modaux mineurs,#009e62,"IDÉ
ATR
ANH",HET
72,3,100000010100,016-1,Non-classé,—,—,#009e62,"QUI
NEU
IDÉ
ATR
ANH",HET
73,3,100100000010,016-2,m7 sans 5,chiffrage harmonique tonal mineur,Accords tonals mineurs,#009e62,"IDÉ
ATR
ANH",HET
74,3,101001000000,016-3,Non-classé,—,—,#009e62,"IDÉ
ATR
ANH",HET
75,3,100000001010,017-1,Non-classé,—,—,#009e62,"ATO
TRP
IDÉ
ATR
ANH",—
76,3,101000000010,017-2,Pyram B,accord extrapolé (géométrie quadrant),Accords extrapolés,#009e62,"ATO
TRP
IDÉ
ATR
ANH
PAL",—
77,3,101010000000,017-3,"Majeur Primal, MjrP",accord extrapolé (harmonie),Accords extrapolés,#009e62,"ATO
TRP
IDÉ
ATR
ANH",—
78,3,100000100001,018-1,7(13) sans 1! ni 5,chiffrage harmonique tonal dominante,Accords tonals dominante,#009e62,"CAD
IDÉ","HET
"
79,3,100000100001,018-1,7(9#) sans 1! ni 5 • alt (altéré),chiffrage harmonique tonal dominante,Accords tonals dominante,#009e62,"CAD
IDÉ","HET
"
80,3,100000100001,018-1,Non-classé,—,—,#009e62,"CAD
IDÉ","HET
"
81,3,100001100000,018-2,Non-classé,—,—,#009e62,"CAD
IDÉ","HET
ORT"
82,3,110000010000,018-3,m6/9 sans 1! ni 5,chiffrage harmonique tonal mineur,Accords tonals mineurs,#009e62,"QUI
NEU
CAD
IDÉ
ATR","HET
"
83,3,100000110000,019-1,7(11) sans 1! ni 5 • mixolydien,chiffrage harmonique modal dominante,Accords modaux dominante,#009e62,"QUI
NEU
CAD
IDÉ","HET
"
84,3,100000110000,019-1,m7(13) sans 1! ni 5 • dorien,chiffrage harmonique modal mineur,Accords modaux mineurs,#009e62,"QUI
NEU
CAD
IDÉ","HET
"
85,3,100000110000,019-1,Non-classé,—,—,#009e62,"QUI
NEU
CAD
IDÉ","HET
"
86,3,100001000001,019-2,Non-classé,—,—,#009e62,"CAD
IDÉ
ATR","HET
"
87,3,110000100000,019-3,Non-classé,—,—,#009e62,"CAD
IDÉ","HET
ORT"
88,3,100000010001,020-1,7sus4(13) sans 1! ni 5,chiffrage harmonique neutre,Accords neutres,#009e62,"QUI
NEU
IDÉ
ATR","HET
"
89,3,100000010001,020-1,7M(9#) sans 1! ni 5,chiffrage harmonique tonal majeur,Accords tonals majeurs,#009e62,"QUI
NEU
IDÉ
ATR","HET
"
90,3,100000010001,020-1,m7(9) sans 1! ni 5,chiffrage harmonique tonal mineur,Accords tonals mineurs,#009e62,"QUI
NEU
IDÉ
ATR","HET
"
91,3,100000010001,020-1,Non-classé,—,—,#009e62,"QUI
NEU
IDÉ
ATR","HET
"
92,3,100011000000,020-2,"Résolutif Sensible, RS",accord extrapolé (harmonie),Accords extrapolés,#009e62,"IDÉ
ATR","HET
"
93,3,110000001000,020-3,Non-classé,—,—,#009e62,"IDÉ
ATR","HET
"
94,3,100000011000,021-1,Non-classé,—,—,#009e62,"QUI
NEU
IDÉ
ATR","HET
"
95,3,100010000001,021-2,7M sans 5,chiffrage harmonique tonal majeur,Accords tonals majeurs,#009e62,"IDÉ
ATR","HET
"
96,3,110001000000,021-3,Non-classé,—,—,#009e62,"IDÉ
ATR","HET
"
97,3,100000001001,022-1,Non-classé,—,—,#009e62,"ATO
ATR",HET
98,3,100110000000,022-2,"Blues Primal, BluP",mode moderne occidental,Gammes / modes modernes,#009e62,"ATO
ATR",HET
99,3,110000000100,022-3,m7M(9) sans 1! ni 5,chiffrage harmonique tonal mineur,Accords tonals mineurs,#009e62,"ATO
ATR",HET
100,3,100000001100,023-1,Non-classé,—,—,#009e62,"ATO
ATR",HET
101,3,100100000001,023-2,Non-classé,—,—,#009e62,"ATO
ATR",HET
102,3,110010000000,023-3,"Oriental Primal, OriP",mode moderne occidental,Gammes / modes modernes,#009e62,"ATO
ATR",HET
103,3,100000000101,024-1,Non-classé,—,—,#009e62,"ATO
IDÉ
ATR",HET
104,3,101100000000,024-2,"Mineur Primal, MnrP",accord extrapolé (harmonie),Accords extrapolés,#009e62,"ATO
IDÉ
ATR",HET
105,3,110000000010,024-3,Non-classé,—,—,#009e62,"ATO
IDÉ
ATR",HET
106,3,100000000110,025-1,Non-classé,—,—,#009e62,"ATO
IDÉ
ATR",HET
107,3,101000000001,025-2,Non-classé,—,—,#009e62,"ATO
IDÉ
ATR",HET
108,3,110100000000,025-3,"Hispanique Primal, HisP",mode moderne occidental,Gammes / modes modernes,#009e62,"ATO
IDÉ
ATR",HET
109,3,100000000011,026-1,Non-classé,—,—,#009e62,"ATO
ATR",
110,3,110000000001,026-2,Pyram A,accord extrapolé (géométrie quadrant),Accords extrapolés,#009e62,"ATO
PAL
ATR",
111,3,111000000000,026-3,C3P,accord extrapolé (harmonie),Accords extrapolés,#009e62,"ATO
ATR",
112,3,111000000000,026-3,Cluster Triadique Primal,accord extrapolé (harmonie),Accords extrapolés,#009e62,"ATO
ATR",
113,4,100100100100,"027-1
027-2
027-3
027-4",Crux C,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 ,"ATO
TRP
ATL
PAL
ANH","ORT
"
114,4,100100100100,"027-1
027-2
027-3
027-4",Quad C,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 ,"ATO
TRP
ATL
PAL
ANH","ORT
"
115,4,100100100100,"027-1
027-2
027-3
027-4",7(9b) sans 1! • alt (altéré),chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 ,"ATO
TRP
ATL
PAL
ANH","ORT
"
116,4,100100100100,"027-1
027-2
027-3
027-4","dim7, °7",chiffrage harmonique tonal mineur,Accords tonals mineurs,#FFFF00 ,"ATO
TRP
ATL
PAL
ANH","ORT
"
117,4,100100100100,"027-1
027-2
027-3
027-4",Diminué septième,chiffrage harmonique tonal mineur,Accords tonals mineurs,#FFFF00 ,"ATO
TRP
ATL
PAL
ANH","ORT
"
118,4,100010010010,028-1,7,chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 ,"QUI
TONM
CAD
TRP
IDÉ
ANH
ATR","HET
"
119,4,100010010010,028-1,Septième de dominante,chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 ,"QUI
TONM
CAD
TRP
IDÉ
ANH
ATR","HET
"
120,4,100100101000,028-2,"7(9b,11#) sans 1! ni 5 • alt (altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 ,"CAD
TRP
IDÉ
ANH","HET
ORT"
121,4,100100101000,028-2,Non-classé,—,—,#FFFF00 ,"CAD
TRP
IDÉ
ANH","HET
ORT"
122,4,100101000100,028-3,"7,5b(9b) sans 1! ni 5 • alt (altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 ,"CAD
TRP
IDÉ
ANH
ATR","HET
"
123,4,101000100100,028-4,m7(9b) sans 1! • phrygien,chiffrage harmonique modal mineur,Accords modaux mineurs,#FFFF00 ,"CAD
TRP
IDÉ
ANH","HET
ORT"
124,4,100010100100,029-1,7sus4(9b) sans 1!,chiffrage harmonique neutre,Accords neutres,#FFFF00 ,"CAD
TRP
IDÉ
ANH","HET
ORT"
125,4,100010100100,029-1,7(9) sans 1!,chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 ,"CAD
TRP
IDÉ
ANH","HET
ORT"
126,4,100010100100,029-1,"7(9b,13) sans 1! ni 5",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 ,"CAD
TRP
IDÉ
ANH","HET
ORT"
127,4,100010100100,029-1,Non-classé,—,—,#FFFF00 ,"CAD
TRP
IDÉ
ANH","HET
ORT"
128,4,100100010100,029-2,"7,5#(9b) sans 1! ni 5 • alt (altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 ,"QUI
TONm
CAD
TRP
IDÉ
ANH
ATR","HET
"
129,4,100100010100,029-2,m6,chiffrage harmonique tonal mineur,Accords tonals mineurs,#FFFF00 ,"QUI
TONm
CAD
TRP
IDÉ
ANH
ATR","HET
"
130,4,100100100010,029-3,Demi-diminué,accord classique,Accords classiques,#FFFF00 ,"CAD
TRP
IDÉ
ANH","HET
ORT"
131,4,100100100010,029-3,"m7,5b",chiffrage harmonique tonal mineur,Accords tonals mineurs,#FFFF00 ,"CAD
TRP
IDÉ
ANH","HET
ORT"
132,4,101001001000,029-4,Non-classé,—,—,#FFFF00 ,"CAD
TRP
IDÉ
ANH
ATR","HET
"
133,4,100010010100,030-1,Trapezio J1,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 ,"QUI
TONM
IDÉ
ATR
ANH",PAN
134,4,100010010100,030-1,6,chiffrage harmonique tonal majeur,Accords tonals majeurs,#FFFF00 ,"QUI
TONM
IDÉ
ATR
ANH",PAN
135,4,100100010010,030-2,Trapezio J2,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 ,"QUI
TONm
IDÉ
ATR
ANH",PAN
136,4,100100010010,030-2,m7,chiffrage harmonique tonal mineur,Accords tonals mineurs,#FFFF00 ,"QUI
TONm
IDÉ
ATR
ANH",PAN
137,4,100101001000,030-3,Trapezio J3,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 ,"IDÉ
ATR
ANH",PAN
138,4,100101001000,030-3,7sus4(9) sans 1!,chiffrage harmonique neutre,Accords neutres,#FFFF00 ,"IDÉ
ATR
ANH",PAN
139,4,100101001000,030-3,7M(9) sans 1!,chiffrage harmonique tonal majeur,Accords tonals majeurs,#FFFF00 ,"IDÉ
ATR
ANH",PAN
140,4,101001000100,030-4,Trapezio J4,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 ,"IDÉ
ATR
ANH",PAN
141,4,100010100010,"031-1
031-3",Quad B1,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 ,"ATO
TRP
ATL
ANH","PAN
ORT
"
142,4,100010100010,"031-1
031-3",7(11#) sans 5 • alt (altéré),chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 ,"ATO
TRP
ATL
ANH","PAN
ORT
"
143,4,100010100010,"031-1
031-3","7,5b • alt (altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 ,"ATO
TRP
ATL
ANH","PAN
ORT
"
144,4,101000101000,"031-2
031-4",Quad B2,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 ,"ATO
TRP
ATL
ANH","PAN
ORT
"
145,4,101000101000,"031-2
031-4","7(9,13b) sans 1! ni 5 • s-alt (semi-altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 ,"ATO
TRP
ATL
ANH","PAN
ORT
"
146,4,101000101000,"031-2
031-4","7,5#(9) sans 1! ni 5 • s-alt (semi-altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 ,"ATO
TRP
ATL
ANH","PAN
ORT
"
147,4,101000101000,"031-2
031-4","7(9,13b) sans 1! ni 5",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 ,"ATO
TRP
ATL
ANH","PAN
ORT
"
148,4,100010001010,032-1,Crux B1,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 ,"ATO
CAD
TRP
ATR
ANH",—
149,4,100010001010,032-1,7(13b) sans 5 • alt (altéré),chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 ,"ATO
CAD
TRP
ATR
ANH",—
150,4,100010001010,032-1,"7(9,11#) sans 1! ni 5",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 ,"ATO
CAD
TRP
ATR
ANH",—
151,4,100010001010,032-1,"7,5# • alt (altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 ,"ATO
CAD
TRP
ATR
ANH",—
152,4,100010101000,032-2,Crux B2,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 ,"ATO
CAD
TRP
PAL
ANH","ORT
"
153,4,101000100010,032-3,Crux B3,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 ,"ATO
CAD
TRP
PAL
ANH","ORT
"
154,4,101010001000,032-4,Crux B4,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 ,"ATO
CAD
TRP
ATR
ANH",—
155,4,101010001000,032-4,"7,5b(9) sans 5 • s-alt (semi-altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 ,"ATO
CAD
TRP
ATR
ANH",—
156,4,101010001000,032-4,"7,5b(9) sans 1! ni 5 • s-alt (semi-altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 ,"ATO
CAD
TRP
ATR
ANH",—
157,4,101010001000,032-4,"7(9,11#) sans 1! ni 5 • s-alt (semi-altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 ,"ATO
CAD
TRP
ATR
ANH",—
158,4,100001010010,033-1,Trapezio H1,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 ,"QUI
NEU
IDÉ
ATR
ANH",TRS
159,4,100001010010,033-1,7sus4,chiffrage harmonique neutre,Accords neutres,#FFFF00 ,"QUI
NEU
IDÉ
ATR
ANH",TRS
160,4,100101000010,033-2,Trapezio H2,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 ,"IDÉ
ATR
ANH",TRS
161,4,100101000010,033-2,m7(11) sans 5,chiffrage harmonique tonal mineur,Accords tonals mineurs,#FFFF00 ,"IDÉ
ATR
ANH",TRS
162,4,100101000010,033-2,Tétraquarte,mode moderne occidental,Gammes / modes modernes,#FFFF00 ,"IDÉ
ATR
ANH",TRS
163,4,101000010100,033-3,Trapezio H3,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 ,"QUI
NEU
IDÉ
ATR
ANH",TRS
164,4,101000010100,033-3,6/9 sans 3 (4tes superposées-1),chiffrage harmonique tonal majeur,Accords tonals majeurs,#FFFF00 ,"QUI
NEU
IDÉ
ATR
ANH",TRS
165,4,101001010000,033-4,Trapezio H4,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 ,"QUI
NEU
IDÉ
ATR
ANH",TRS
166,4,101001010000,033-4,"7M(11#,13) sans 1! ni 5 • lydien",chiffrage harmonique modal majeur,Accords modaux majeurs,#FFFF00 ,"QUI
NEU
IDÉ
ATR
ANH",TRS
167,4,101001010000,033-4,6/9 sans 3 (4tes superposées-2),chiffrage harmonique tonal majeur,Accords tonals majeurs,#FFFF00 ,"QUI
NEU
IDÉ
ATR
ANH",TRS
168,4,101001010000,033-4,"7M(9,13) sans 1! ni 5",chiffrage harmonique tonal majeur,Accords tonals majeurs,#FFFF00 ,"QUI
NEU
IDÉ
ATR
ANH",TRS
169,4,100001001010,034-1,"7M(9,11#) sans 1! ni 5 • lydien",chiffrage harmonique modal majeur,Accords modaux majeurs,#FFFF00 ,"TRP
IDÉ
ATR
ANH",HET
170,4,100001001010,034-1,7M(13) sans 1!,chiffrage harmonique tonal majeur,Accords tonals majeurs,#FFFF00 ,"TRP
IDÉ
ATR
ANH",HET
171,4,100001001010,034-1,Non-classé,—,—,#FFFF00 ,"TRP
IDÉ
ATR
ANH",HET
172,4,100101010000,034-2,Non-classé,—,—,#FFFF00 ,"QUI
TONm
TRP
IDÉ
ATR
ANH",HET
173,4,101000010010,034-3,Non-classé,—,—,#FFFF00 ,"QUI
NEU
TRP
IDÉ
ATR
ANH",HET
174,4,101010000100,034-4,6/9 sans 5,chiffrage harmonique tonal majeur,Accords tonals majeurs,#FFFF00 ,"TRP
IDÉ
ATR
ANH",HET
175,4,100001010100,035-1,m7(11) sans 1!,chiffrage harmonique tonal mineur,Accords tonals mineurs,#FFFF00 ,"QUI
NEU
TRP
IDÉ
ATR
ANH",HET
176,4,100001010100,035-1,Non-classé,—,—,#FFFF00 ,"QUI
NEU
TRP
IDÉ
ATR
ANH",HET
177,4,100100001010,035-2,Non-classé,—,—,#FFFF00 ,"TRP
IDÉ
ATR
ANH",HET
178,4,101001000010,035-3,7sus4(9) sans 5,chiffrage harmonique neutre,Accords neutres,#FFFF00 ,"TRP
IDÉ
ATR
ANH",HET
179,4,101010010000,035-4,"Maj9, maj sus2",chiffrage harmonique tonal majeur,Accords tonals majeurs,#FFFF00 ,"QUI
TONM
TRP
IDÉ
ATR
ANH",HET
180,4,100010010001,036-1,Trapezio I1,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 ,"QUI
TONM
IDÉ
ATR",TRS
181,4,100010010001,036-1,m7(9) sans 1!,chiffrage harmonique tonal mineur,Accords tonals mineurs,#FFFF00 ,"QUI
TONM
IDÉ
ATR",TRS
182,4,100011000100,036-2,Trapezio I2,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 ,"IDÉ
ATR",TRS
183,4,100100011000,036-3,Trapezio I3,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 ,"QUI
TONm
IDÉ
ATR",TRS
184,4,100100011000,036-3,7M,chiffrage harmonique tonal majeur,Accords tonals majeurs,#FFFF00 ,"QUI
TONm
IDÉ
ATR",TRS
185,4,110001001000,036-4,Trapezio I4,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 ,"IDÉ
ATR",TRS
186,4,100010001001,037-1,m7M(9) sans 1!,chiffrage harmonique tonal mineur,Accords tonals mineurs,#FFFF00 ,"CAD
ATR",HET
187,4,100010001001,037-1,Non-classé,—,—,#FFFF00 ,"CAD
ATR",HET
188,4,100010011000,037-2,"7M,5#",chiffrage harmonique tonal majeur,Accords tonals majeurs,#FFFF00 ,"QUI
TONM
CAD
ATR",HET
189,4,100110001000,037-3,Non-classé,—,—,#FFFF00 ,"CAD
ATR",HET
190,4,110001000100,037-4,Non-classé,—,—,#FFFF00 ,"CAD
ATR",HET
