0,0,000000000000,000,Silence,élément esthétique indispensable !,— —,#808080 
64,3,100000101000,014-1,7(11#) sans 1! ni 5 • alt (altéré),chiffrage harmonique tonal dominante,Accords tonals dominante,#008000 
65,3,100000101000,014-1,Non-classé,—,—,#008000 
66,3,100010000010,014-2,7 sans 5,chiffrage harmonique tonal dominante,Accords tonals dominante,#008000 
67,3,101000100000,014-3,Non-classé,—,—,#008000 
68,3,100000010010,015-1,7M(9) sans 1! ni 5,chiffrage harmonique tonal majeur,Accords tonals majeurs,#008000 
69,3,100000010010,015-1,Non-classé,—,—,#008000 
70,3,100101000000,015-2,Non-classé,—,—,#008000 
71,3,101000000100,015-3,m7(9b) sans 1! ni 5 • phrygien,chiffrage harmonique modal mineur,Accords modaux mineurs,#008000 
72,3,100000010100,016-1,Non-classé,—,—,#008000 
73,3,100100000010,016-2,m7 sans 5,chiffrage harmonique tonal mineur,Accords tonals mineurs,#008000 
74,3,101001000000,016-3,Non-classé,—,—,#008000 
75,3,100000001010,017-1,Non-classé,—,—,#008000 
76,3,101000000010,017-2,Pyram B,accord extrapolé (géométrie quadrant),Accords extrapolés,#008000 
77,3,101010000000,017-3,"Majeur Primal, MjrP",accord extrapolé (harmonie),Accords extrapolés,#008000 
78,3,100000100001,018-1,7(13) sans 1! ni 5,chiffrage harmonique tonal dominante,Accords tonals dominante,#008000 
79,3,100000100001,018-1,7(9#) sans 1! ni 5 • alt (altéré),chiffrage harmonique tonal dominante,Accords tonals dominante,#008000 
80,3,100000100001,018-1,Non-classé,—,—,#008000 
81,3,100001100000,018-2,Non-classé,—,—,#008000 
82,3,110000010000,018-3,m6/9 sans 1! ni 5,chiffrage harmonique tonal mineur,Accords tonals mineurs,#008000 
83,3,100000110000,019-1,7(11) sans 1! ni 5 • mixolydien,chiffrage harmonique modal dominante,Accords modaux dominante,#008000 
84,3,100000110000,019-1,m7(13) sans 1! ni 5 • dorien,chiffrage harmonique modal mineur,Accords modaux mineurs,#008000 
85,3,100000110000,019-1,Non-classé,—,—,#008000 
86,3,100001000001,019-2,Non-classé,—,—,#008000 
87,3,110000100000,019-3,Non-classé,—,—,#008000 
88,3,100000010001,020-1,7sus4(13) sans 1! ni 5,chiffrage harmonique neutre,Accords neutres,#008000 
89,3,100000010001,020-1,7M(9#) sans 1! ni 5,chiffrage harmonique tonal majeur,Accords tonals majeurs,#008000 
90,3,100000010001,020-1,m7(9) sans 1! ni 5,chiffrage harmonique tonal mineur,Accords tonals mineurs,#008000 
91,3,100000010001,020-1,Non-classé,—,—,#008000 
92,3,100011000000,020-2,"Résolutif Sensible, RS",accord extrapolé (harmonie),Accords extrapolés,#008000 
93,3,110000001000,020-3,Non-classé,—,—,#008000 
94,3,100000011000,021-1,Non-classé,—,—,#008000 
95,3,100010000001,021-2,7M sans 5,chiffrage harmonique tonal majeur,Accords tonals majeurs,#008000 
96,3,110001000000,021-3,Non-classé,—,—,#008000 
97,3,100000001001,022-1,Non-classé,—,—,#008000 
98,3,100110000000,022-2,"Blues Primal, BluP",mode moderne occidental,Gammes / modes modernes,#008000 
99,3,110000000100,022-3,m7M(9) sans 1! ni 5,chiffrage harmonique tonal mineur,Accords tonals mineurs,#008000 
100,3,100000001100,023-1,Non-classé,—,—,#008000 
101,3,100100000001,023-2,Non-classé,—,—,#008000 
102,3,110010000000,023-3,"Oriental Primal, OriP",mode moderne occidental,Gammes / modes modernes,#008000 
103,3,100000000101,024-1,Non-classé,—,—,#008000 
104,3,101100000000,024-2,"Mineur Primal, MnrP",accord extrapolé (harmonie),Accords extrapolés,#008000 
105,3,110000000010,024-3,Non-classé,—,—,#008000 
106,3,100000000110,025-1,Non-classé,—,—,#008000 
107,3,101000000001,025-2,Non-classé,—,—,#008000 
108,3,110100000000,025-3,"Hispanique Primal, HisP",mode moderne occidental,Gammes / modes modernes,#008000 
109,3,100000000011,026-1,Non-classé,—,—,#008000 
110,3,110000000001,026-2,Pyram A,accord extrapolé (géométrie quadrant),Accords extrapolés,#008000 
111,3,111000000000,026-3,C3P,accord extrapolé (harmonie),Accords extrapolés,#008000 
112,3,111000000000,026-3,Cluster Triadique Primal,accord extrapolé (harmonie),Accords extrapolés,#008000 
113,4,100100100100,"027-1
027-2
027-3
027-4",Crux C,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 
114,4,100100100100,"027-1
027-2
027-3
027-4",Quad C,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 
115,4,100100100100,"027-1
027-2
027-3
027-4",7(9b) sans 1! • alt (altéré),chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 
116,4,100100100100,"027-1
027-2
027-3
027-4","dim7, °7",chiffrage harmonique tonal mineur,Accords tonals mineurs,#FFFF00 
117,4,100100100100,"027-1
027-2
027-3
027-4",Diminué septième,chiffrage harmonique tonal mineur,Accords tonals mineurs,#FFFF00 
118,4,100010010010,028-1,7,chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 
119,4,100010010010,028-1,Septième de dominante,chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 
120,4,100100101000,028-2,"7(9b,11#) sans 1! ni 5 • alt (altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 
121,4,100100101000,028-2,Non-classé,—,—,#FFFF00 
122,4,100101000100,028-3,"7,5b(9b) sans 1! ni 5 • alt (altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 
123,4,101000100100,028-4,m7(9b) sans 1! • phrygien,chiffrage harmonique modal mineur,Accords modaux mineurs,#FFFF00 
124,4,100010100100,029-1,7sus4(9b) sans 1!,chiffrage harmonique neutre,Accords neutres,#FFFF00 
125,4,100010100100,029-1,7(9) sans 1!,chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 
126,4,100010100100,029-1,"7(9b,13) sans 1! ni 5",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 
127,4,100010100100,029-1,Non-classé,—,—,#FFFF00 
128,4,100100010100,029-2,"7,5#(9b) sans 1! ni 5 • alt (altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 
129,4,100100010100,029-2,m6,chiffrage harmonique tonal mineur,Accords tonals mineurs,#FFFF00 
130,4,100100100010,029-3,Demi-diminué,accord classique,Accords classiques,#FFFF00 
131,4,100100100010,029-3,"m7,5b",chiffrage harmonique tonal mineur,Accords tonals mineurs,#FFFF00 
132,4,101001001000,029-4,Non-classé,—,—,#FFFF00 
133,4,100010010100,030-1,Trapezio J1,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 
134,4,100010010100,030-1,6,chiffrage harmonique tonal majeur,Accords tonals majeurs,#FFFF00 
135,4,100100010010,030-2,Trapezio J2,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 
136,4,100100010010,030-2,m7,chiffrage harmonique tonal mineur,Accords tonals mineurs,#FFFF00 
137,4,100101001000,030-3,Trapezio J3,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 
138,4,100101001000,030-3,7sus4(9) sans 1!,chiffrage harmonique neutre,Accords neutres,#FFFF00 
139,4,100101001000,030-3,7M(9) sans 1!,chiffrage harmonique tonal majeur,Accords tonals majeurs,#FFFF00 
140,4,101001000100,030-4,Trapezio J4,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 
141,4,100010100010,"031-1
031-3",Quad B1,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 
142,4,100010100010,"031-1
031-3",7(11#) sans 5 • alt (altéré),chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 
143,4,100010100010,"031-1
031-3","7,5b • alt (altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 
144,4,101000101000,"031-2
031-4",Quad B2,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 
145,4,101000101000,"031-2
031-4","7(9,13b) sans 1! ni 5 • s-alt (semi-altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 
146,4,101000101000,"031-2
031-4","7,5#(9) sans 1! ni 5 • s-alt (semi-altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 
147,4,101000101000,"031-2
031-4","7(9,13b) sans 1! ni 5",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 
148,4,100010001010,032-1,Crux B1,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 
149,4,100010001010,032-1,7(13b) sans 5 • alt (altéré),chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 
150,4,100010001010,032-1,"7(9,11#) sans 1! ni 5",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 
151,4,100010001010,032-1,"7,5# • alt (altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 
152,4,100010101000,032-2,Crux B2,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 
153,4,101000100010,032-3,Crux B3,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 
154,4,101010001000,032-4,Crux B4,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 
155,4,101010001000,032-4,"7,5b(9) sans 5 • s-alt (semi-altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 
156,4,101010001000,032-4,"7,5b(9) sans 1! ni 5 • s-alt (semi-altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 
157,4,101010001000,032-4,"7(9,11#) sans 1! ni 5 • s-alt (semi-altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 
158,4,100001010010,033-1,Trapezio H1,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 
159,4,100001010010,033-1,7sus4,chiffrage harmonique neutre,Accords neutres,#FFFF00 
160,4,100101000010,033-2,Trapezio H2,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 
161,4,100101000010,033-2,m7(11) sans 5,chiffrage harmonique tonal mineur,Accords tonals mineurs,#FFFF00 
162,4,100101000010,033-2,Tétraquarte,mode moderne occidental,Gammes / modes modernes,#FFFF00 
163,4,101000010100,033-3,Trapezio H3,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 
164,4,101000010100,033-3,6/9 sans 3 (4tes superposées-1),chiffrage harmonique tonal majeur,Accords tonals majeurs,#FFFF00 
165,4,101001010000,033-4,Trapezio H4,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 
166,4,101001010000,033-4,"7M(11#,13) sans 1! ni 5 • lydien",chiffrage harmonique modal majeur,Accords modaux majeurs,#FFFF00 
167,4,101001010000,033-4,6/9 sans 3 (4tes superposées-2),chiffrage harmonique tonal majeur,Accords tonals majeurs,#FFFF00 
168,4,101001010000,033-4,"7M(9,13) sans 1! ni 5",chiffrage harmonique tonal majeur,Accords tonals majeurs,#FFFF00 
169,4,100001001010,034-1,"7M(9,11#) sans 1! ni 5 • lydien",chiffrage harmonique modal majeur,Accords modaux majeurs,#FFFF00 
170,4,100001001010,034-1,7M(13) sans 1!,chiffrage harmonique tonal majeur,Accords tonals majeurs,#FFFF00 
171,4,100001001010,034-1,Non-classé,—,—,#FFFF00 
172,4,100101010000,034-2,Non-classé,—,—,#FFFF00 
173,4,100101010000,034-3,Non-classé,—,—,#FFFF00 
174,4,101010000100,034-4,6/9 sans 5,chiffrage harmonique tonal majeur,Accords tonals majeurs,#FFFF00 
175,4,100001010100,035-1,m7(11) sans 1!,chiffrage harmonique tonal mineur,Accords tonals mineurs,#FFFF00 
176,4,100001010100,035-1,Non-classé,—,—,#FFFF00 
177,4,100100001010,035-2,Non-classé,—,—,#FFFF00 
178,4,101001000010,035-3,7sus4(9) sans 5,chiffrage harmonique neutre,Accords neutres,#FFFF00 
179,4,101010010000,035-4,"Maj9, maj sus2",chiffrage harmonique tonal majeur,Accords tonals majeurs,#FFFF00 
180,4,100010010001,036-1,Trapezio I1,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 
181,4,100010010001,036-1,m7(9) sans 1!,chiffrage harmonique tonal mineur,Accords tonals mineurs,#FFFF00 
182,4,100011000100,036-2,Trapezio I2,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 
183,4,100100011000,036-3,Trapezio I3,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 
184,4,100100011000,036-3,7M,chiffrage harmonique tonal majeur,Accords tonals majeurs,#FFFF00 
185,4,110001001000,036-4,Trapezio I4,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 
186,4,100010001001,037-1,m7M(9) sans 1!,chiffrage harmonique tonal mineur,Accords tonals mineurs,#FFFF00 
187,4,100010001001,037-1,Non-classé,—,—,#FFFF00 
188,4,100010011000,037-2,"7M,5#",chiffrage harmonique tonal majeur,Accords tonals majeurs,#FFFF00 
189,4,100110001000,037-3,Non-classé,—,—,#FFFF00 
190,4,110001000100,037-4,Non-classé,—,—,#FFFF00 
191,4,100010001100,038-1,7M(9#) sans 1!,chiffrage harmonique tonal majeur,Accords tonals majeurs,#FFFF00 
192,4,100010001100,038-1,"m7,5b(9) sans 1!",chiffrage harmonique tonal mineur,Accords tonals mineurs,#FFFF00 
193,4,100010001100,038-1,Non-classé,—,—,#FFFF00 
194,4,100011001000,038-2,Non-classé,—,—,#FFFF00 
195,4,100100010001,038-3,m7M,chiffrage harmonique tonal mineur,Accords tonals mineurs,#FFFF00 
196,4,110010001000,038-4,Non-classé,—,—,#FFFF00 
197,4,100001001001,039-1,"7(9b,11) sans 1! ni 5",chiffrage harmonique modal dominante,Accords modaux dominante,#FFFF00 
198,4,100001001001,039-1,Non-classé,—,—,#FFFF00 
199,4,100100110000,039-2,Non-classé,—,—,#FFFF00 
200,4,100110000100,039-3,Non-classé,—,—,#FFFF00 
201,4,110000100100,039-4,Non-classé,—,—,#FFFF00 
202,4,100000101010,040-1,Trapezio E1,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 
203,4,100000101010,040-1,"7(11#,13b) sans 1! ni 5 • alt (altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 
204,4,101000001010,040-2,Trapezio E2,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 
205,4,101010000010,040-3,Trapezio E3,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 
206,4,101010000010,040-3,7(9) sans 5,chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 
207,4,101010100000,040-4,Trapezio E4,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 
208,4,101010100000,040-4,"7,5b,5# sans 1! ni 5 • alt (altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 
209,4,101010100000,040-4,Tétracorde Lydien,mode classique occidental,Gammes / modes classiques,#FFFF00 
210,4,101010100000,040-4,Tétracorde unitonique,mode classique occidental,Gammes / modes classiques,#FFFF00 
211,4,100001100100,041-1,7(9#) sans 1! • alt (altéré),chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 
212,4,100001100100,041-1,Non-classé,—,—,#FFFF00 
213,4,100100001100,041-2,"7(9b,13) sans 1! ni 5 • s-alt (semi-altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 
214,4,100100100001,041-3,Non-classé,—,—,#FFFF00 
215,4,110010010000,041-4,Non-classé,—,—,#FFFF00 
216,4,100001010001,042-1,"m7(11,13) sans 1! ni 5 • dorien",chiffrage harmonique modal mineur,Accords modaux mineurs,#FFFF00 
217,4,100001010001,042-1,Non-classé,—,—,#FFFF00 
218,4,100011000010,042-2,7(11) sans 5 • mixolydien,chiffrage harmonique modal dominante,Accords modaux dominante,#FFFF00 
219,4,101000110000,042-3,Non-classé,—,—,#FFFF00 
220,4,110000101000,042-4,Non-classé,—,—,#FFFF00 
221,4,100001001100,043-1,Trapezio G1,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 
222,4,100100001001,043-2,Trapezio G2,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 
223,4,100110010000,043-3,Trapezio G3,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 
224,4,100110010000,043-3,"7M,5# sans 1!",chiffrage harmonique modal majeur,Accords modaux majeurs,#FFFF00 
225,4,100110010000,043-3,Maj9#,chiffrage harmonique tonal majeur,Accords tonals majeurs,#FFFF00 
226,4,100110010000,043-3,Tétracorde binaire-bluesy,mode moderne occidental,Gammes / modes modernes,#FFFF00 
227,4,110010000100,043-4,Trapezio G4,accord extrapolé (géométrie quadrant),Accords extrapolés,#FFFF00 
228,4,110010000100,043-4,"m7M(9,11#) sans 1! ni 5",chiffrage harmonique tonal mineur,Accords tonals mineurs,#FFFF00 
229,4,100001100010,044-1,Polyharmonique A1,accord extrapolé (harmonie),Accords extrapolés,#FFFF00 
230,4,100001100010,044-1,"7(9#,13b) sans 1! ni 5 • alt (altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 
231,4,100001100010,044-1,"7(9,13) sans 1! ni 5",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 
232,4,100001100010,044-1,m6/9 sans 1!,chiffrage harmonique tonal mineur,Accords tonals mineurs,#FFFF00 
233,4,100010100001,044-2,Polyharmonique A2,accord extrapolé (harmonie),Accords extrapolés,#FFFF00 
234,4,100010100001,044-2,7M(11#) sans 5 • lydien,chiffrage harmonique tonal majeur,Accords tonals majeurs,#FFFF00 
235,4,100010100001,044-2,"7M,5b",chiffrage harmonique tonal majeur,Accords tonals majeurs,#FFFF00 
236,4,101000011000,044-3,Polyharmonique A3,accord extrapolé (harmonie),Accords extrapolés,#FFFF00 
237,4,110001010000,044-4,Polyharmonique A4,accord extrapolé (harmonie),Accords extrapolés,#FFFF00 
238,4,110001010000,044-4,"7,5#(9#) sans 1! ni 5 • alt (altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 
239,4,100000101001,045-1,"7(11#,13) sans 1! ni 5",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 
240,4,100000101001,045-1,Non-classé,—,—,#FFFF00 
241,4,100110000010,045-2,7(9#) sans 5 • alt (altéré),chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 
242,4,101001100000,045-3,"7(11#,13) sans 1! ni 5 • s-alt (semi-altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 
243,4,101001100000,045-3,"7,5b(13) sans 1! ni 5 • s-alt (semi-altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 
244,4,110000010100,045-4,Non-classé,—,—,#FFFF00 
245,4,100001000101,046-1,"7(9,11) sans 1! ni 5 • mixolydien",chiffrage harmonique modal dominante,Accords modaux dominante,#FFFF00 
246,4,100001000101,046-1,m7(13) sans 1! • dorien,chiffrage harmonique modal mineur,Accords modaux mineurs,#FFFF00 
247,4,100001000101,046-1,Non-classé,—,—,#FFFF00 
248,4,100010110000,046-2,Non-classé,—,—,#FFFF00 
249,4,101100001000,046-3,Non-classé,—,—,#FFFF00 
250,4,110000100010,046-4,Non-classé,—,—,#FFFF00 
251,4,100000110010,047-1,"7(11,13b) sans 1! ni 5",chiffrage harmonique modal dominante,Accords modaux dominante,#FFFF00 
252,4,100000110010,047-1,Non-classé,—,—,#FFFF00 
253,4,100101000001,047-2,Non-classé,—,—,#FFFF00 
254,4,101000001100,047-3,Non-classé,—,—,#FFFF00 
255,4,110010100000,047-4,Non-classé,—,—,#FFFF00 
256,4,100001101000,048-1,"7(9#,11#) sans 1! ni 5 • alt (altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 
257,4,100001101000,048-1,Non-classé,—,—,#FFFF00 
258,4,100010000110,048-2,7(13) sans 5,chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 
259,4,101000100001,048-3,Non-classé,—,—,#FFFF00 
260,4,110100010000,048-4,"7,5b(9#) sans 1! ni 5 • alt (altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 
261,4,100001011000,049-1,7M(11#) sans 1!,chiffrage harmonique modal majeur,Accords modaux majeurs,#FFFF00 
262,4,100001011000,049-1,"m7,5b(11) sans 1!",chiffrage harmonique tonal mineur,Accords tonals mineurs,#FFFF00 
263,4,100001011000,049-1,Non-classé,—,—,#FFFF00 
264,4,100010000101,049-2,7M(13) sans 5,chiffrage harmonique tonal majeur,Accords tonals majeurs,#FFFF00 
265,4,101100010000,049-3,"7M,5b sans 1! • lydien",chiffrage harmonique modal majeur,Accords modaux majeurs,#FFFF00 
266,4,101100010000,049-3,"min9, min sus2",chiffrage harmonique tonal mineur,Accords tonals mineurs,#FFFF00 
267,4,110001000010,049-4,7sus4(9b) sans 5,chiffrage harmonique neutre,Accords neutres,#FFFF00 
268,4,100001000110,050-1,7sus4(13) sans 5,chiffrage harmonique neutre,Accords neutres,#FFFF00 
269,4,100011010000,050-2,m7(13b) sans 1! • aeolien,chiffrage harmonique modal mineur,Accords modaux mineurs,#FFFF00 
270,4,100011010000,050-2,"m7(9,11) sans 1! ni 5",chiffrage harmonique tonal mineur,Accords tonals mineurs,#FFFF00 
271,4,100011010000,050-2,Non-classé,—,—,#FFFF00 
272,4,101000010001,050-3,Non-classé,—,—,#FFFF00 
273,4,110100001000,050-4,"7M(9#,11#) sans 1! ni 5",chiffrage harmonique modal majeur,Accords modaux majeurs,#FFFF00 
274,4,100000100101,051-1,7(13) sans 1!,chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 
275,4,100000100101,051-1,"7(9b,9#) sans 1! ni 5 • alt (altéré)",chiffrage harmonique tonal dominante,Accords tonals dominante,#FFFF00 
276,4,100000100101,051-1,Non-classé,—,—,#FFFF00 
277,4,100101100000,051-2,Non-classé,—,—,#FFFF00 
278,4,101100000100,051-3,m6/9 sans 5,chiffrage harmonique tonal mineur,Accords tonals mineurs,#FFFF00 
